item,storage_variant,price_usd,condition_label,title,notes,date_collected,search_query
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,239.00,Open-box,Nintendo Switch OLED Zelda TOTK Edition + SanDisk 128GB + Bundle,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,220.00,Open-box,Nintendo Switch OLED Zelda TOTK Special Edition 64GB Dockable,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,300.00,Pre-owned,Nintendo Switch OLED HEG-001 Legend of Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,250.00,Open-box,Nintendo Switch OLED Zelda TOTK Edition With Carrying Case,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,340.00,New,Nintendo Switch OLED HEG-001 Legend of Zelda TOTK (NEW),,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,350.00,New,Nintendo Switch OLED TOTK Edition Console Brand New Sealed Mint,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,229.99,Pre-owned,OLED Nintendo Switch Legend of Zelda TOTK (OLED Model),,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,249.99,Open-box,Nintendo Switch OLED Model Legend of Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,149.99,Pre-owned,Nintendo Switch OLED Legend of Zelda TOTK CONSOLE - TESTED,console only bare unit - lowest of cluster,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,200.00,Pre-owned,Nintendo Switch OLED Zelda TOTK Special Edition + 100GB Case CIB,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,239.99,Open-box,Nintendo Switch OLED Model TOTK Edition OPEN BOX USED,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,339.99,New,Nintendo OLED Switch Console Legend of Zelda TOTK Edition NEW,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,265.00,Open-box,Nintendo OLED Switch Console Legend of Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,295.00,Open-box,Nintendo Switch OLED Zelda TOTK Special Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,220.00,Open-box,Nintendo Switch OLED Model 64GB Legend of Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,170.00,Open-box,NEW Zelda TOTK OLED Nintendo Switch CONSOLE ONLY (US),,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,199.95,Pre-owned,Nintendo Switch OLED System Legend of Zelda TOTK Edition w/Case,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,379.99,New,Nintendo Switch OLED Console Legend of Zelda TOTK Edition NEW,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,200.00,Pre-owned,Nintendo Switch OLED Console Zelda TOTK Edition 64GB,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,235.00,Pre-owned,TOTK OLED Switch + 25GB Memory Card + Case,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,275.00,Pre-owned,Nintendo OLED Switch Console Legend of Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,190.00,Pre-owned,Nintendo Switch OLED Model Legend of Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,340.00,Pre-owned,Nintendo Switch OLED Zelda TOTK Special Edition CIB,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,200.00,Pre-owned,Nintendo Switch OLED Zelda TOTK Edition,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,190.00,Pre-owned,Nintendo Switch OLED Zelda TOTK Edition Console 64GB,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,330.00,Pre-owned,Zelda Nintendo Switch OLED Console TOTK Special Edition + Case,,2026-08-28,switch oled tears of the kingdom
Nintendo Switch OLED - Tears of the Kingdom Edition,standard,120.50,Open-box,Nintendo Switch OLED Model Hits-Off Legend of Zelda TOTK Edition,lowest observed price in this set,2026-08-28,switch oled tears of the kingdom
Steam Deck OLED,512GB,649.90,New,Valve Steam Deck OLED 512GB Black Handheld Console System,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,669.99,Pre-owned,Valve Steam Deck OLED 512GB Black Handheld NIB-Barely Used-Excellent,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,649.99,Pre-owned,Valve Steam Deck OLED 512GB with Official Dock (Good Condition),,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,625.00,Pre-owned,Valve Steam Deck OLED 512GB Black Handheld Console with case,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,715.00,New,Valve Steam Deck OLED 512GB Black Handheld Console,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,660.00,New,Valve Steam Deck OLED - 512gb,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,600.00,Pre-owned,Valve Steam Deck OLED 512GB Handheld + Closed Backpack Travel Case,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,649.99,New,Valve Steam Deck OLED 7.4in AMD 6nm Ryzen APU 16GB RAM 512GB Black,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,645.00,Pre-owned,Valve Steam Deck OLED 512GB Black Handheld LIGHT USE ORIGINAL BOX,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,789.00,New,Valve Steam Deck OLED 512GB - Black,marked down from ~$999 list; Almost gone/400 sold,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,602.99,Pre-owned,Valve Steam Deck OLED 7.4in AMD 6nm Ryzen APU 16GB RAM 512GB Black 1030,marked down listing,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,749.00,Pre-owned,Valve Steam Deck OLED 512GB MDX 1030 W Docking Station New Power Adapter Case,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,650.00,Pre-owned,Valve Steam Deck OLED 512GB Black Handheld with Charging Cable and Case,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,849.00,New,Valve Steam Deck OLED 512GB Handheld Gaming System Brand New Security Tag Sealed,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,719.99,Open-box,Valve Steam Deck OLED 512GB SSD Black Gaming Handheld Open Box,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,750.00,Open-box,Valve Steam Deck OLED 512GB With Case + Charger + Docking Station,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,645.00,Pre-owned,Valve Steam Deck OLED Handheld 512GB with Original Charger and Case,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,715.00,New,Valve Steam Deck OLED 512GB,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,899.00,Pre-owned,Valve Steam Deck OLED 512GB Black Handheld Bundle Excellent Condition,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,512GB,650.00,Pre-owned,Valve Steam Deck OLED 512GB 1030 Model,,2026-08-28,steam deck oled 512gb
Steam Deck OLED,1TB,700.00,Pre-owned,Valve Steam Deck OLED 1TB Black Handheld PC System USB-C w/ Carrying Case,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,550.00,Pre-owned,Steam Deck OLED 1TB - Used - local pickup San Jose CA,local pickup only listing,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,570.00,Pre-owned,Valve Steam Deck OLED Handheld Console Black 1TB With Killswitch Case,active auction bid price,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,799.99,Pre-owned,Valve Steam Deck Limited Edition OLED 1TB Handheld Console - Good Condition,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,950.00,New,NEW Sealed Valve Steam Deck OLED 1TB Handheld Console Black,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,700.00,Pre-owned,Valve Steam Deck OLED 1TB Handheld System Console Black w/ Hard Case,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,649.99,New,Valve Steam Deck OLED 1TB Handheld System,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,699.99,New,Valve Steam Deck OLED 1030 1TB 16GB RAM Gaming System w/ 64gb Memory Card,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,869.99,Refurbished,Valve Steam Deck OLED Handheld Console 1TB Excellent w/Case+Charger+Dock,eBay Refurbished,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,849.99,Open-box,Valve Steam Deck OLED 1TB SSD Gaming Handheld Console Open Box,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,680.00,Pre-owned,Valve Steam Deck Handheld System Console Black USB-C w/Carrying Case 1TB,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,879.99,Open-box,Valve Steam Deck OLED 1TB SSD Black Gaming Handheld Console Open Box,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,950.00,Pre-owned,Valve Steam Deck OLED 1TB Handheld Console White LIMITED EDITION Excellent,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,600.00,Pre-owned,Steam Deck OLED 1TB handheld console dock tomtoc case with all hookups,active auction bid price,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,770.00,Pre-owned,Valve Steam Deck OLED Handheld Console Black 1TB Includes Charger and Case,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,889.98,Open-box,Valve Steam Deck OLED Handheld Gaming Console 1TB Black,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,690.00,Pre-owned,Steam Deck OLED 1TB with official dock carrying case & charger lightly used,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,775.00,Pre-owned,Valve Steam Deck Limited Edition OLED 1TB Handheld Console - Used,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,849.00,New,Valve Steam Deck OLED Limited Edition Smoky Translucent Console 1TB,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,710.00,Pre-owned,Valve Steam Deck OLED Handheld Console Black 1TB w/Charger Excellent,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,899.00,Refurbished,Valve Steam Deck Limited Edition OLED 1TB Handheld Console - Good Condition,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,825.00,Pre-owned,Valve Steam Deck OLED Limited Edition Smoky Translucent Console 1TB Excellent,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,739.99,Refurbished,Valve Steam Deck OLED Handheld Console Black 1TB w/Charger Very Good,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,900.00,Pre-owned,Valve Steam Deck OLED 1TB Handheld System Black Wi-Fi USB-C,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,899.00,Pre-owned,Valve Steam Deck OLED 1TB Black Handheld Console Bundle Excellent Condition,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,850.00,Pre-owned,Steam Deck OLED Limited Edition 1TB Smoky Translucent,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,775.00,Pre-owned,Valve Steam Deck OLED 1TB Handheld Gaming Console 1030,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,999.99,New,Valve Steam Deck OLED 1TB Limited Edition White,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,799.00,New,Valve Steam Deck OLED 1TB Black Handheld Console Wi-Fi USB-C w/Case & Charger,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,738.99,Pre-owned,Valve Steam Deck OLED 1TB w/Case + Charger,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,714.99,Pre-owned,Valve Steam Deck OLED 7.4in AMD 6nm Ryzen APU 16GB RAM 1TB Black 1030,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,950.00,New,Valve Steam Deck OLED 1TB Handheld Portable Gaming PC,,2026-08-28,steam deck oled 1tb
Steam Deck OLED,1TB,749.00,Pre-owned,Steam Deck OLED 1TB Handheld Console with Etched Glass + Protector Grip + XL Case,,2026-08-28,steam deck oled 1tb
