model,storage_variant,completeness,date,price_usd,source_url
Steam Deck OLED,512GB,Loose,2026-08-11,669.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-11,630.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-11,749.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-11,675.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-10,649.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-10,650.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-10,729.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-10,645.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-09,600.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-09,600.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-09,499.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-09,500.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-08,650.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-08,800.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-07,650.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-07,650.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-07,679.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-06,640.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-05,710.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,Loose,2026-08-05,549.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-loose
Steam Deck OLED,512GB,CIB,2026-08-07,675.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-08-06,700.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-08-04,679.97,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-08-04,724.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-08-01,719.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-07-29,650.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-07-23,680.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-07-17,680.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-07-13,725.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-07-10,750.00,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
Steam Deck OLED,512GB,CIB,2026-07-06,699.99,https://www.pricecharting.com/game/pc-games/steam-deck-512gb-oled-edition#completed-auctions-cib
